NR_ZONA,NR_LOCAL_VOTACAO,votos_cristovam,endereco,nome,total_validos,share,NM_LOCAL_VOTACAO,lat,lon
5,1317,83,DF 205 FAZENDA CORREGO DO OURO,ESCOLA CLASSE CORREGO DO OURO,332,25.0,ESCOLA CLASSE CORREGO DO OURO,-15.513346,-47.9228912
16,1414,81,AE 01 LOTE K/L/M/N - SETOR NORTE,CENTRO DE CONVIVÊNCIA BRAZLÂNDIA CENTRAL (COSE),870,9.310344827586208,CENTRO DE CONVIVÊNCIA BRAZLÂNDIA CENTRAL (COSE),-15.6826374,-48.1973122
8,1457,80,QNN 13,CENTRO EDUCACIONAL 07,916,8.73362445414847,CENTRO EDUCACIONAL 07,-15.8119053,-48.1184777
5,1821,77,SITIO PATRICIA DF 325 KM 8/9 LOBERAL ZONA RURAL,CENTRO DE ENSINO FUNDAMENTAL QUEIMA LENÇOL,492,15.650406504065039,CENTRO DE ENSINO FUNDAMENTAL QUEIMA LENÇOL,-15.5892085,-47.8435432
6,1171,75,BR 020 KM 18 NUCLEO EXPERIMENTAL EMBRAPA,ESCOLA CLASSE ETA 44,736,10.190217391304348,ESCOLA CLASSE ETA 44,-15.592917,-47.7296058
16,1473,74,BR - 080 KM 25 ESTRADA DE BRAZLÂNDIA PARA PADRE BERNARDO,CENTRO DE ENSINO FUNDAMENTAL VENDINHA,888,8.333333333333332,CENTRO DE ENSINO FUNDAMENTAL VENDINHA,-15.6211036,-48.1993693
16,1589,71,AE 05 - SETOR TRADICIONAL,CAIC - PROFESSOR BENEDITO CARLOS DE OLIVEIRA,762,9.317585301837271,CAIC - PROFESSOR BENEDITO CARLOS DE OLIVEIRA,-15.6780636,-48.2033573
6,1210,69,BR 020 DF 335 FAZENDA MONJOLO,ESCOLA CLASSE MONJOLO,664,10.391566265060241,ESCOLA CLASSE MONJOLO,-15.5377964,-47.6862922
5,1309,67,DF 205 KM 13 ESTRADA SECUNDARIA,ESCOLA CLASSE CATINGUEIRO,416,16.105769230769234,ESCOLA CLASSE CATINGUEIRO,-15.5636765,-47.9353741
16,1228,66,QNP 13 - AREA ESPECIAL - SETOR P NORTE,CENTRO DE ENSINO MEDIO 12,986,6.693711967545639,CENTRO DE ENSINO MEDIO 12,-15.80943551,-48.13025988
16,1570,64,"ZR - DF 249 - DF 008, N.R.ALEX. GUSMAO",ESCOLA CLASSE  INCRA 07,846,7.5650118203309695,ESCOLA CLASSE  INCRA 07,-15.7489835,-48.11491
2,1627,63,DF 250 - VIA LAGO NORTE - KM 07 - NR,ESCOLA CLASSE SOBRADINHO DOS MELOS,416,15.144230769230768,ESCOLA CLASSE SOBRADINHO DOS MELOS,-15.7970072,-47.6939568
2,1643,62,"SMLN - TRECHO 04, CONJUNTO 01, CH 160",ESCOLA CLASSE ASPALHA,566,10.954063604240282,ESCOLA CLASSE ASPALHA,-15.7325081,-47.8337997
10,1406,60,QN 14B CONJ 6 LOTES 19/20,COLÉGIO EDUCANDÁRIO DA FÁTIMA,802,7.4812967581047385,COLÉGIO EDUCANDÁRIO DE FÁTIMA,-15.8980134,-48.0489503
2,1635,53,BR-020 - CH OLHOS DAGUA - N 22,ESCOLA CLASSE OLHOS DÁGUA,392,13.520408163265307,ESCOLA CLASSE OLHOS D'ÁGUA,-15.6932967,-47.8641668
10,1260,52,QS 4 AE  LOTE A,ESCOLA CLASSE VERDE DO RIACHO FUNDO I,1102,4.71869328493648,ESCOLA CLASSE VERDE DO RIACHO FUNDO I,-15.8849527,-48.0147093
16,1350,49,"BR 080 KM 37 FAZ. CURRALINHO, ESTRADA DE PADRE BERNARDO",CENTRO EDUCACIONAL 04 (CURRALINHO),488,10.040983606557377,CENTRO EDUCACIONAL 04 (CURRALINHO),-15.5343677,-48.1905073
16,1309,38,RUA DA CASCALHEIRA S/N - VC 311,ESCOLA CLASSE DO SETOR P NORTE,820,4.634146341463414,ESCOLA CLASSE DO SETOR P NORTE,-15.8318172,-48.1380688
6,1821,36,SETOR EDUCACIONAL LT 01,CENTRO DE ENSINO ESPECIAL 01,394,9.137055837563452,CENTRO DE ENSINO ESPECIAL 01,-15.6196724,-47.6538776
5,1813,35,"BR 020 KM 2 COND. GRAN VILLE, LOTE 9",INSTITUTO PEDAGOGICO CRESCER,392,8.928571428571429,INSTITUTO PEDAGOGICO CRESCER,-15.6824259,-47.8416279
5,1694,32,BR 020 KM 13/14 NUCLEO RURAL CORREGO DO ARROZAL,ESCOLA CLASSE CORREGO DO ARROZAL,806,3.970223325062035,ESCOLA CLASSE CORREGO DO ARROZAL,-15.6455692,-47.7348842
16,1341,32,ZONA RURAL FAZ. ALMECEGAS BR-080 - DF 206 VC 505,ESCOLA CLASSE  ALMECEGAS,232,13.793103448275861,ESCOLA CLASSE  ALMECEGAS,-15.5388316,-48.1687854
5,1597,18,FAZENDA SOBRADINHO PROX. AO POLO DE CINEMA,ESCOLA CLASSE MORRO DO SANSAO,188,9.574468085106384,ESCOLA CLASSE MORRO DO SANSAO,-15.6197231,-47.8231737
16,1520,11,"ZR-DF-240-ACESSO P/VSJ, KM 3,7",ESCOLA CLASSE BUCANHAO,94,11.702127659574469,ESCOLA CLASSE BUCANHAO,-15.636873,-48.1696093
18,1384,8,"NÚCLEO RURAL AGUILHADA, BR-251, RA 14 - SÃO SEBASTIÃO/DF",UNIDADE DE INTERNAÇÃO DE SÃO SEBASTIÃO,144,5.555555555555555,UNIDADE DE INTERNAÇÃO DE SÃO SEBASTIÃO,-15.938829,-47.7617312
21,1317,5,ESTRADA CONTORNO TAGUATINGA/GAMA KM 03 - GRANJA DAS OLIVEIRAS,UNIRE - UNIDADE DE INTERNAÇÃO DO RECANTO DAS EMAS,220,2.272727272727273,,,
4,1678,4,"NÚCLEO RURAL ALAGADOS, RA 8",UNIDADE DE INTERNAÇÃO DE SANTA MARIA - UISM,66,6.0606060606060606,UNIDADE DE INTERNAÇÃO DE SANTA MARIA - UISM,-16.01595878,-48.02337821
6,1945,1,LOTES 44/45 BAIRRO NOSSA SENHORA DE FÁTIMA,UNIDADE DE INTERNAÇÃO DE PLANALTINA,68,1.4705882352941175,UNIDADE DE INTERNAÇÃO DE PLANALTINA,-15.6406091,-47.6645903
